f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,quality
0.871973,0.530019,0.122052,0.5451266477904294,0.14765360190451327,0.09318472100327613,0.2519675652611407,0.43978372077058037,0.8180353031063087,0.06084237189361774,0.9563453900033583,0
0.470346,0.130116,0.178643,0.39330545292901387,0.09838946828052475,0.5601436194157496,0.035514617123831416,0.6333534737103478,0.2958720497796692,0.413913403651489,0.9081873068181944,0
0.537756,0.0280293,0.736978,0.09745835284460458,0.1265145357195544,0.07895309636592696,0.8721390847752108,0.45745389048123675,0.752765378262981,0.4885143268669895,0.0016922172150486414,0
0.677453,0.505805,0.851298,0.19161695765157116,0.8738165265732635,0.36032837719680044,0.2538458748782484,0.23473652338723527,0.9845461372534883,0.47294158014901744,0.6101104857909517,0
0.855825,0.353839,0.743307,0.7848234169155408,0.725670372875838,0.06684545937572584,0.711079792566884,0.057376963181306695,0.9835287557481706,0.7814217590059621,0.49119808474290405,0
0.0914041,0.177267,0.265171,0.6901951842583862,0.09397363794892089,0.5960199011133014,0.6316514189357234,0.6268180617161186,0.664382012689021,0.43898961772934886,0.4862083099080011,0
0.960399,0.776166,0.563397,0.18368290832215173,0.05998950181938134,0.5046699823368156,0.10753464010855251,0.7049778908095319,0.622265324249829,0.5436253498436512,0.9379110528900084,0
0.187813,0.0342448,0.261472,0.849111185776177,0.1975650002732554,0.40418617240009624,0.13721608082534653,0.2695405194153728,0.8930824403061157,0.9126247561412801,0.7357554552496776,0
0.26837,0.38325,0.0324158,0.20981378536202266,0.7016699447979043,0.43815758563442486,0.585876732331055,0.6978638234553043,0.8831582385964956,0.31464253673202347,0.4538074734346462,0
0.842895,0.941924,0.0710153,0.49394034120081676,0.03435024687704713,0.4435789051219008,0.18552205118375742,0.21536861037959143,0.552209632608007,0.010588021975442508,0.810510450829616,0
0.49026,0.673787,0.0250881,0.42585353044859,0.9663019354145049,0.4040074440226348,0.9808593765332875,0.9277039204778739,0.20558772761365696,0.543864634721915,0.5059857087494073,0
0.835959,0.107598,0.964216,0.6762708164842803,0.6373639453105255,0.11722831898186314,0.2629617100598408,0.433849159903019,0.8935448500908983,0.5276711867004942,0.4872638183554461,0
0.269898,0.280776,0.819866,0.9999119068669166,0.8922458341022834,0.5161113536575964,0.45627300523319436,0.5855572103912031,0.31236435074184143,0.3926058600527965,0.4920677600801677,0
0.0716511,0.194712,0.82458,0.36981898411430836,0.24605789532438804,0.5298920829067164,0.43852441439572043,0.11560045822728249,0.37315437138542806,0.25648222442213686,0.755318025072992,0
0.848489,0.804596,0.57234,0.6604463619159185,0.6629682692973063,0.500081988373665,0.8970552313619006,0.3619068438571269,0.7681293573494329,0.9798620438012222,0.21371706114757205,0
0.369774,0.251158,0.516089,0.06415449910045012,0.8344132941729997,0.10259540548770818,0.12229471252174462,0.8906850940095175,0.9279490804313428,0.21485836094604638,0.5605232075245142,0
0.149897,0.597466,0.28916,0.6380036473586196,0.3368578984037033,0.5211376870696892,0.3167466800806428,0.31291499598718353,0.8565684298739449,0.11814283287938465,0.6036235798293339,0
0.314963,0.677357,0.618981,0.824674044766341,0.031351900123419485,0.34184950649699253,0.33330239201162526,0.16375797053494545,0.5367710735584165,0.2799272405352127,0.38732601310845316,0
0.951796,0.232436,0.747002,0.4880655532359267,0.3139114364610338,0.6740877392578307,0.20621186606549824,0.20022722751123168,0.9953081522141465,0.47112867977403317,0.3940701858445481,0
0.314646,0.807803,0.440122,0.3713647313257872,0.5768308080995826,0.6888554564823671,0.5110922227201853,0.32630564230283376,0.5002057908403799,0.12632046700888433,0.5293982827696216,0
0.436184,0.359453,0.0459965,0.26510883651887884,0.8358046263693871,0.02751709353455689,0.04769841786849638,0.8887459987124746,0.9165866737515794,0.4163933466220433,0.7490313331525805,0
0.184055,0.589104,0.948572,0.12207946713292528,0.5120657632124185,0.183118423598151,0.19039666298595215,0.5905897094906861,0.32945985849238724,0.9357963753790944,0.5711120822654244,0
0.147392,0.396369,0.0838662,0.7454602728887678,0.2980522215713012,0.04107418276753083,0.16673201325317966,0.9170519858180629,0.9998911237342197,0.5868055863197758,0.87753823921251,0
0.604934,0.78093,0.645916,0.22432111228068063,0.17783466472910048,0.2629655106568627,0.027351570049511276,0.8072303737015777,0.825785524832961,0.1330294520262687,0.14353493255629524,0
0.949273,0.527277,0.0126667,0.18175383276169899,0.5405027870926776,0.9936159626959922,0.5528616129406948,0.160823391646565,0.5429708382288466,0.37202110614404693,0.9942266461966894,0
0.676742,0.952727,0.120872,0.5892277876516702,0.6556638886788106,0.16133605665161255,0.3917776786179624,0.2358635879920159,0.24407735155562882,0.571196086998024,0.37540999138319986,0
0.206607,0.655818,0.904151,0.381466751608906,0.9336442560045313,0.47904261919574265,0.4660142092200259,0.702258792359625,0.3094459312704617,0.45522892154630135,0.40219090257761725,0
0.232372,0.266612,0.329733,0.40441825766519635,0.762134800794701,0.18505542596053048,0.9510458339743032,0.4337317384899616,0.5348800962104809,0.0779930987415971,0.015857670051158124,0
0.524732,0.996349,0.688612,0.09215373270893523,0.8486236778863667,0.43803178898355977,0.056643409398039135,0.7170149166376681,0.13677671955508408,0.22050500410952345,0.9162912967765344,0
0.55689,0.635588,0.285225,0.7635847090035685,0.7564406585089373,0.5701407765081778,0.7108549430825654,0.8844326544452823,0.30040377156463194,0.9281447215089089,0.9820628462466777,0
0.278443,0.524763,0.750561,0.062358869001740036,0.14072662057661467,0.9239439343859488,0.9388971326283009,0.2740716553620427,0.3699501072616701,0.5364537465584089,0.5164237320930922,0
0.544953,0.986095,0.263867,0.42288784379752864,0.9761009996711137,0.17222559713926833,0.052484039260385584,0.19365947398265104,0.6302363470076042,0.06612916062777363,0.10680211418230334,0
0.234822,0.0486862,0.738699,0.1114946369007157,0.6743480069865483,0.5801804708177439,0.8423120800317125,0.9429176125210538,0.38856341433054864,0.2791717926071352,0.9533201308314404,0
0.417393,0.888227,0.119108,0.9259765785017741,0.9025412441809813,0.8446408512080109,0.8045253881157443,0.2566771403962341,0.9969875741577607,0.6123217272201354,0.7184347000407179,0
0.811666,0.187962,0.994745,0.5617585885954224,0.7177586147409487,0.4051221412377949,0.08956467436625815,0.07055178014885344,0.6954747541142483,0.07168321778164566,0.7150500653623777,0
0.0994546,0.634081,0.858183,0.766928294318845,0.01710015605137849,0.7520106755578702,0.6658882344980104,0.6453261322146423,0.2158435781696746,0.05715302467344907,0.8366026890112926,0
0.143519,0.829397,0.273794,0.8531720033727682,0.6127752435455243,0.0083212791750773,0.498534287596072,0.518542107822834,0.1307490278709479,0.8009817184616833,0.3919548534045485,0
0.683783,0.714735,0.919476,0.5932657791395777,0.7397051246961075,0.44582523396862195,0.28905372998239787,0.8622345647361638,0.08703830474050223,0.26776093929762856,0.25554910673470355,0
0.254631,0.100641,0.548884,0.33000919582933674,0.4423233146629,0.30282027085038243,0.7834578546619159,0.32526067004668413,0.8312561062391923,0.23858160580176258,0.993528677154149,0
0.0603334,0.374622,0.169849,0.3259616674904783,0.8746434947745524,0.6085658610666147,0.027511016040310365,0.9421753882000777,0.6291408541942903,0.1161164465115746,0.7049707243062283,0
0.0636799,0.0150609,0.53159,0.6032471868040035,0.785979700459956,0.6658779027220931,0.2446588186310813,0.12318528838985676,0.3953257857214246,0.540201200074978,0.6686521664090205,0
0.321454,0.952622,0.890599,0.42346088067810694,0.5582907506630496,0.17686394867028976,0.09573729944035037,0.9115511025522055,0.19625738352007271,0.9724140029060251,0.3057757822582128,0
0.984261,0.837018,0.24001,0.7045271818028419,0.9931012935225887,0.31798919689079397,0.17247953302543806,0.15394177706888967,0.9823192444170752,0.8856735848500332,0.1405797489056445,0
0.68116,0.427907,0.197784,0.996203488447889,0.6463223705836663,0.22198168497008608,0.26817464814191294,0.7285490876165098,0.8682194560589624,0.2850417652696122,0.7721448828642297,0
0.823667,0.420888,0.516747,0.8782292934822742,0.5105243447730284,0.17488233249767093,0.16094764510543902,0.5072983737107122,0.6417802711931839,0.7577713902559489,0.4042466481345255,0
0.506673,0.846618,0.52906,0.11500913984826189,0.16292791074562352,0.32561857771999403,0.0019090608009855181,0.8089195884548072,0.5272955292824832,0.6135387112181915,0.24941621917636014,0
0.607611,0.0452785,0.599452,0.2936502998743318,0.633555381588243,0.28826306683446357,0.566497898420754,0.3437063331041549,0.4000870027962843,0.4798563041605747,0.4286625785506488,0
0.582586,0.490072,0.795914,0.1934616700918812,0.8775502645100423,0.7840673739423278,0.9484598907287235,0.7169091317428645,0.2721941415361192,0.7821403979543688,0.5449688247074408,0
0.0497712,0.711816,0.945069,0.181263826642045,0.6229268405931785,0.6223383338016151,0.45938824297425707,0.8827007052577982,0.7583736904587854,0.08833756881214239,0.9976111419815397,0
0.308036,0.11656,0.955299,0.027756792704228928,0.2033921370596844,0.11019647353435025,0.5705300680171984,0.0406019812575138,0.13688113355901677,0.8628707791352946,0.28061718514989886,0
0.338585,0.981856,0.905544,0.49149856708643147,0.8130091507734395,0.2981055321155647,0.2711293866297284,0.17416464635213535,0.6166509675172109,0.050043908970315854,0.49049734710518156,0
0.33072,0.766279,0.515651,0.06987997494363318,0.2685196496659292,0.6931863545205977,0.16344737645010898,0.022660761477636515,0.06280433891561465,0.8952148649869861,0.952612530749122,0
0.0209351,0.538946,0.0926731,0.19897471747534556,0.49310993454505214,0.21485209383606096,0.9919324703781901,0.5952540312588337,0.8874703069665311,0.8337446191078408,0.7280167235686782,0
0.22049,0.99442,0.900666,0.4500750764761051,0.7350346500615679,0.8173269371398304,0.7368479737472782,0.5383685605716059,0.32389554857012703,0.011824857311994674,0.48621820495553336,0
0.255393,0.902812,0.855111,0.5892450967057816,0.4467587883891374,0.5532412286244958,0.06025677972336019,0.7799128614440495,0.6513025157823848,0.15957939628498785,0.6235405151439277,0
0.246051,0.83566,0.706465,0.815872015000964,0.2080342671205997,0.5734563147885517,0.9313606786374325,0.08344437052349307,0.9848214742702222,0.9489579824517163,0.1715783221021947,0
0.328885,0.513246,0.773583,0.3515683588245937,0.6287607031249207,0.514468648850457,0.43300038122459406,0.7205824182989848,0.8046413084303614,0.6012651527103692,0.31759862529252614,0
0.590031,0.624297,0.44748,0.24296925785733514,0.20347166802756556,0.7811421443102763,0.5783971588965812,0.18999782077892435,0.7185267598310209,0.05534504091452197,0.82975286431299,0
0.677352,0.773102,0.272182,0.21976548675135432,0.30223459005850606,0.8344975553783864,0.11784891057444846,0.9413592423878002,0.13980883122397125,0.7440690605647565,0.8480955311677298,0
